0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
413.0,0.45,0.118,3.0,2.3697391448800755,13.23383,17.33024720923479,18.76696,-0.130473,0.37279390213019303,0.450828,2000.0,0.4,1.7196442776589405,0.874151,2.490998029967579,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,2.1119637970961707,13.23383,-13.036341493267507,18.76696,-0.130473,0.17071237144728552,0.450828,2000.0,0.4,1.296617173788066,0.874151,0.21438091695327238,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,0.6461746864644612,13.23383,2.286384279993065,18.76696,-0.130473,0.1478721470095922,0.450828,2000.0,0.4,2.215174342125416,0.874151,1.7837081469803837,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,0.6556996654916609,13.23383,18.477955820001057,18.76696,-0.130473,0.2532047771099632,0.450828,2000.0,0.4,7.90527212759709,0.874151,2.026585040564456,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,2.243658743773812,13.23383,-18.48296260560726,18.76696,-0.130473,0.019953287994048517,0.450828,2000.0,0.4,9.33078171861269,0.874151,1.2435934948210516,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,2.301779951011789,13.23383,19.302572525388037,18.76696,-0.130473,0.47114637451013697,0.450828,2000.0,0.4,6.460414246317043,0.874151,0.45962095583741347,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,2.134926972229892,13.23383,-11.434856993859333,18.76696,-0.130473,0.22401101148201696,0.450828,2000.0,0.4,9.466367631445939,0.874151,1.710073830591917,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,1.8393140547619904,13.23383,4.341665596172692,18.76696,-0.130473,0.1937638129512166,0.450828,2000.0,0.4,7.612811525095391,0.874151,0.12025703055971254,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,2.2514007180449847,13.23383,-0.5054982331137587,18.76696,-0.130473,0.1034960243125866,0.450828,2000.0,0.4,7.630602502500119,0.874151,0.8744396743775397,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,1.2134274614654137,13.23383,-12.516436403793524,18.76696,-0.130473,0.1273737044143903,0.450828,2000.0,0.4,0.0010587532230882258,0.874151,0.0028996371742671346,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,0.33961846754955083,13.23383,6.184954762578094,18.76696,-0.130473,0.1382424297522825,0.450828,2000.0,0.4,2.2848879569467195,0.874151,0.8206664674496353,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,2.167715133883261,13.23383,-10.639228022054898,18.76696,-0.130473,0.4855427405727103,0.450828,2000.0,0.4,4.156582893296653,0.874151,1.1728588442426329,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,1.2468522713331383,13.23383,-9.952474605735697,18.76696,-0.130473,0.4926543653814209,0.450828,2000.0,0.4,4.974723316426875,0.874151,1.1277068464699918,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,1.131300103000903,13.23383,7.157597594200219,18.76696,-0.130473,0.11507620029167387,0.450828,2000.0,0.4,3.0462292816437757,0.874151,2.0459702153803487,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
413.0,0.45,0.118,3.0,1.3541352119048948,13.23383,10.322260973916976,18.76696,-0.130473,0.10970862222291788,0.450828,2000.0,0.4,5.909220730072078,0.874151,0.6582748074651772,0.541605,0.273584,1.2,0.33,4.970496,0.0,0.0,200.0,0.0,0.0,20.0,-999.0,-999.0,-999.0
